Date,Travelers,YoY
7/1/2020,"626,516","2,547,889"
6/30/2020,"500,054","2,347,767"
6/29/2020,"625,235","2,455,536"
6/28/2020,"633,810","2,632,030"
6/27/2020,"546,310","2,368,846"
6/26/2020,"632,984","2,730,515"
6/25/2020,"623,624","2,711,222"
6/24/2020,"494,826","2,594,661"
6/23/2020,"471,421","2,506,510"
6/22/2020,"607,540","2,716,428"
6/21/2020,"590,456","2,719,643"
6/20/2020,"507,129","2,378,559"
6/19/2020,"587,908","2,772,903"
6/18/2020,"576,514","2,728,786"
6/17/2020,"441,829","2,552,395"
6/16/2020,"417,924","2,466,574"
6/15/2020,"534,528","2,699,580"
6/14/2020,"544,046","2,642,083"
6/13/2020,"437,119","2,318,946"
6/12/2020,"519,304","2,727,860"
6/11/2020,"502,209","2,675,686"
6/10/2020,"386,969","2,509,058"
6/9/2020,"338,382","2,433,189"
6/8/2020,"430,414","2,644,981"
6/7/2020,"441,255","2,669,860"
6/6/2020,"353,016","2,225,952"
6/5/2020,"419,675","2,649,808"
6/4/2020,"391,882","2,623,947"
6/3/2020,"304,436","2,370,152"
6/2/2020,"267,742","2,247,421"
6/1/2020,"353,261","2,499,002"
5/31/2020,"352,947","2,555,578"
5/30/2020,"268,867","2,117,180"
5/29/2020,"327,133","2,570,613"
5/28/2020,"321,776","2,485,770"
5/27/2020,"261,170","2,269,035"
5/26/2020,"264,843","2,453,649"
5/25/2020,"340,769","2,512,237"
5/24/2020,"267,451","2,070,716"
5/23/2020,"253,190","2,124,825"
5/22/2020,"348,673","2,792,670"
5/21/2020,"318,449","2,673,635"
5/20/2020,"230,367","2,472,123"
5/19/2020,"190,477","2,312,727"
5/18/2020,"244,176","2,615,691"
5/17/2020,"253,807","2,620,276"
5/16/2020,"193,340","2,091,116"
5/15/2020,"250,467","2,664,549"
5/14/2020,"234,928","2,611,324"
5/13/2020,"176,667","2,343,675"
5/12/2020,"163,205","2,191,387"
5/11/2020,"215,645","2,512,315"
5/10/2020,"200,815","2,419,114"
5/9/2020,"169,580","1,985,942"
5/8/2020,"215,444","2,602,631"
5/7/2020,"190,863","2,555,342"
5/6/2020,"140,409","2,270,662"
5/5/2020,"130,601","2,106,597"
5/4/2020,"163,692","2,470,969"
5/3/2020,"170,254","2,512,598"
5/2/2020,"134,261","1,968,278"
5/1/2020,"171,563","2,546,029"
4/30/2020,"154,695","2,499,461"
